Frame, Millseconds, Label, X1, X2, Y1, Y2
184.0,6.133333333333333,person 0,725,777,89,244
184.0,6.133333333333333,person 1,596,682,151,290
184.0,6.133333333333333,sports ball 2,778,800,167,187
185.0,6.166666666666667,person 0,593,684,151,292
185.0,6.166666666666667,person 1,714,778,93,246
185.0,6.166666666666667,sports ball 2,778,801,181,201
186.0,6.2,person 0,603,684,151,295
186.0,6.2,person 1,711,780,98,248
186.0,6.2,sports ball 2,779,802,193,215
187.0,6.233333333333333,person 0,609,681,150,298
187.0,6.233333333333333,person 1,711,783,101,251
187.0,6.233333333333333,sports ball 2,781,806,206,231
188.0,6.266666666666667,person 0,608,673,150,298
188.0,6.266666666666667,person 1,706,781,106,253
188.0,6.266666666666667,sports ball 2,784,807,223,243
189.0,6.3,person 0,601,666,153,300
189.0,6.3,person 1,694,783,113,257
189.0,6.3,sports ball 2,788,811,238,258
190.0,6.333333333333333,person 0,598,662,154,301
190.0,6.333333333333333,person 1,686,785,118,262
190.0,6.333333333333333,sports ball 2,784,808,238,258
191.0,6.366666666666667,person 0,594,660,160,306
191.0,6.366666666666667,person 1,689,783,120,264
191.0,6.366666666666667,sports ball 2,780,802,236,257
192.0,6.4,person 0,688,773,124,262
192.0,6.4,person 1,594,657,163,309
192.0,6.4,sports ball 2,773,796,231,251
193.0,6.433333333333333,person 0,683,766,126,263
193.0,6.433333333333333,person 1,593,657,163,309
193.0,6.433333333333333,sports ball 2,770,791,229,247
194.0,6.466666666666667,person 0,594,658,164,309
194.0,6.466666666666667,person 1,679,762,124,265
194.0,6.466666666666667,sports ball 2,767,789,224,244
195.0,6.5,person 0,595,657,166,307
195.0,6.5,person 1,682,760,124,265
195.0,6.5,sports ball 2,765,788,218,238
196.0,6.533333333333333,person 0,681,754,122,263
196.0,6.533333333333333,person 1,599,655,165,304
196.0,6.533333333333333,sports ball 2,763,787,217,235
197.0,6.566666666666667,person 0,672,753,120,261
197.0,6.566666666666667,person 1,605,655,161,301
197.0,6.566666666666667,sports ball 2,765,785,218,233
198.0,6.6,person 0,668,759,118,256
198.0,6.6,person 1,608,655,159,298
198.0,6.6,sports ball 2,765,785,214,230
199.0,6.633333333333333,person 0,667,763,117,254
199.0,6.633333333333333,person 1,612,657,152,294
199.0,6.633333333333333,sports ball 2,763,783,210,229
200.0,6.666666666666667,person 0,669,765,119,251
200.0,6.666666666666667,person 1,612,659,146,293
